0.06922478	0.06699126	0.06482979	0.06273807	0.06071383	0.05875491	0.05685919	0.05502463	0.05324927	0.05153119	0.04986854
0.10912966	0.10360231	0.09835492	0.09337331	0.08864401	0.08415424	0.07989188	0.07584541	0.07200389	0.06835694	0.06489470
0.12697894	0.11752038	0.10876637	0.10066445	0.09316603	0.08622616	0.07980324	0.07385876	0.06835708	0.06326521	0.05855263
0.13081584	0.11719721	0.10499636	0.09406568	0.08427294	0.07549968	0.06763976	0.06059810	0.05428952	0.04863769	0.04357425
0.12614845	0.10853764	0.09338537	0.08034841	0.06913146	0.05948045	0.05117675	0.04403228	0.03788520	0.03259628	0.02804571
0.11669088	0.09558698	0.07829978	0.06413903	0.05253929	0.04303740	0.03525396	0.02887817	0.02365547	0.01937730	0.01587286
0.10489744	0.08103626	0.06260281	0.04836246	0.03736137	0.02886272	0.02229728	0.01722528	0.01330702	0.01028005	0.00794163
0.09234595	0.06659694	0.04802759	0.03463596	0.02497834	0.01801358	0.01299082	0.00936856	0.00675631	0.00487243	0.00351384
0.08001131	0.05328104	0.03548085	0.02362737	0.01573391	0.01047751	0.00697717	0.00464623	0.00309401	0.00206036	0.00137203
0.06845954	0.04161129	0.02529231	0.01537325	0.00934422	0.00567963	0.00345221	0.00209833	0.00127542	0.00077523	0.00047120
0.05798439	0.03177890	0.01741673	0.00954541	0.00523145	0.00286715	0.00157137	0.00086120	0.00047199	0.00025868	0.00014177
